NAME_2,NAME_3,avg_rainfall,max_rainfall,avg_temperature,elevation,landcover_class,ndvi,slope,soil_moisture,year,month,banjir,lat,long,geometry,distance_to_river
bekasi,cikarangbarat,29.046,69.88,37.8,29.644,Built-up,0.422,0.174,37.461,2023,4,0,-6.2973,107.0941,POINT (731674.8920802455 9303466.519225938),2009.7836201752816
jakarta utara,cilincing,15.712,49.528,37.53,3.19,Built-up,0.328,0.068,37.312,2021,4,0,-6.1243,106.9421,POINT (714922.4162499532 9322666.292553814),11839.886181753953
kota tangerang,cibodas,18.225,38.105,36.69,19.751,Built-up,0.314,0.128,35.281,2021,8,0,-6.2058,106.608,POINT (677911.5369416502 9313775.838005653),5060.167197846576
tangerang,teluknaga,21.583,36.934,33.23,3.313,Permanent water bodies,0.349,0.071,37.958,2021,3,0,-6.0499,106.6582,POINT (683520.520663746 9330999.424135901),12646.67299075649
jakarta utara,penjaringan,23.92,41.774,31.27,3.083,Built-up,0.205,0.074,38.002,2021,3,0,-6.115,106.7639,POINT (695198.8561999453 9323762.907350171),15829.156569766958
depok,sukmajaya,27.214,88.379,35.65,88.001,Built-up,0.396,0.34,39.052,2023,6,0,-6.3973,106.8436,POINT (703912.1289661278 9292511.072068147),17557.73193509745
bogor,cigombong,34.322,81.131,29.12,688.475,Tree cover,0.691,4.624,37.205,2023,12,0,-6.7461,106.8128,POINT (700364.6219837447 9253946.311583566),51644.24892956076
bekasi,pebayuran,58.206,91.085,32.38,7.055,Cropland,0.568,0.061,38.82,2021,11,0,-6.1593,107.2485,POINT (748829.8599142763 9318661.94999992),3347.519744588326
kota tangerang,neglasari,13.815,32.862,33.52,11.542,Built-up,0.339,0.072,36.845,2024,5,0,-6.1429,106.6302,POINT (680389.7178841371 9320724.24707491),1931.4784710891356
bogor,caringin,20.999,34.312,26.56,765.651,Tree cover,0.745,4.954,37.072,2024,5,0,-6.7366,106.866,POINT (706250.7211116689 9254974.847519254),46362.32308333035
bogor,klapanunggal,44.826,79.533,29.9,203.856,Tree cover,0.524,3.061,39.981,2022,2,0,-6.483,106.9553,POINT (716235.0304553448 9282986.36391989),18955.348694296346
depok,beji,63.513,126.685,37.09,78.676,Built-up,0.282,0.279,41.09,2023,2,0,-6.3731,106.819,POINT (701199.7852767789 9295197.252122458),18577.35084631599
bogor,gunungsindur,64.373,108.875,29.44,72.997,Tree cover,0.418,0.372,40.893,2020,1,0,-6.3871,106.6872,POINT (686612.0047075714 9293698.524755452),25880.532012888765
jakarta pusat,gambir,7.977,35.153,38.05,7.605,Built-up,0.258,0.061,34.128,2020,8,0,-6.1715,106.8181,POINT (701177.5279825472 9317494.161882194),21036.35601142455
depok,bojongsari,94.875,161.501,37.67,87.016,Built-up,0.462,0.265,41.626,2021,11,0,-6.3943,106.7378,POINT (692207.5670240467 9292883.63010859),27775.7078295501
bekasi,setu,38.285,61.676,32.93,51.932,Tree cover,0.622,0.202,37.845,2022,4,0,-6.3637,107.0373,POINT (725359.5351104357 9296146.739579484),3971.5363466737367
jakarta timur,matraman,19.025,27.872,39.43,12.702,Built-up,0.187,0.132,37.159,2020,10,0,-6.2036,106.8645,POINT (706301.1134282572 9313926.134618105),14792.832206005345
kota bogor,bogorbarat,57.467,85.013,37.59,207.937,Built-up,0.48,0.658,37.629,2022,3,0,-6.5732,106.7655,POINT (695203.374773531 9273087.620121403),37521.125409426124
bekasi,setu,36.13,78.753,33.31,51.932,Tree cover,0.435,0.202,37.876,2023,1,0,-6.3637,107.0373,POINT (725359.5351104357 9296146.739579484),3971.5363466737367
jakarta barat,tambora,20.501,57.25,40.23,5.895,Built-up,0.136,0.048,36.758,2022,9,0,-6.1475,106.8035,POINT (699570.4403676601 9320153.975528037),19451.295796373317
bekasi,kedungwaringin,68.356,100.589,34.93,10.722,Cropland,0.332,0.076,38.839,2022,11,0,-6.2516,107.2483,POINT (748764.3824361147 9308451.194605043),2885.724015271498
bekasi,pebayuran,27.344,49.864,29.88,7.055,Cropland,0.529,0.061,38.025,2022,3,0,-6.1593,107.2485,POINT (748829.8599142763 9318661.94999992),3347.519744588326
jakarta barat,tambora,2.321,8.052,40.07,5.895,Built-up,0.151,0.048,33.061,2023,10,0,-6.1475,106.8035,POINT (699570.4403676601 9320153.975528037),19451.295796373317
tangerang,kronjo,36.316,54.358,30.09,4.048,Cropland,0.629,0.069,38.992,2020,3,0,-6.0703,106.4282,POINT (658053.8304056993 9328815.962244237),20031.100360387132
depok,tapos,76.735,122.938,35.42,98.048,Built-up,0.32,0.278,41.613,2021,2,0,-6.4192,106.8805,POINT (707986.017358538 9290074.091280716),16266.82584036743
kota tangerang,karangtengah,14.132,30.059,35.82,13.076,Built-up,0.36,0.156,35.281,2021,8,0,-6.2101,106.7097,POINT (689165.4297441512 9313265.058075389),10568.381295154777
kota bogor,bogortimur,76.187,115.009,34.17,322.856,Built-up,0.544,1.429,37.188,2021,5,0,-6.6207,106.8264,POINT (701919.7668698041 9267809.954431932),38542.49095066408
bekasi,pebayuran,28.536,75.689,32.31,7.055,Cropland,0.643,0.061,31.877,2021,10,0,-6.1593,107.2485,POINT (748829.8599142763 9318661.94999992),3347.519744588326
kota bekasi,pondokmelati,31.236,105.098,39.3,38.409,Built-up,0.331,0.242,39.61,2022,9,0,-6.3095,106.9282,POINT (713308.9188346117 9302187.86123476),4892.660507847839
bekasi,kedungwaringin,44.671,82.087,37.23,10.722,Cropland,0.297,0.076,38.239,2022,10,0,-6.2516,107.2483,POINT (748764.3824361147 9308451.194605043),2885.724015271498
jakarta barat,palmerah,18.094,42.774,36.33,10.559,Built-up,0.255,0.122,36.819,2021,6,0,-6.1917,106.7956,POINT (698679.4956296096 9315268.562362932),18848.45458549404
kota bekasi,pondokmelati,28.504,61.721,39.39,38.409,Built-up,0.394,0.242,36.146,2020,9,0,-6.3095,106.9282,POINT (713308.9188346117 9302187.86123476),4892.660507847839
kota tangerang,benda,50.02,95.513,37.6,8.372,Built-up,0.34,0.098,37.141,2022,1,0,-6.13,106.6657,POINT (684323.4810239893 9322138.7442283),5328.597405249021
tangerang,kronjo,25.792,40.271,30.68,4.048,Cropland,0.441,0.069,36.589,2021,5,0,-6.0703,106.4282,POINT (658053.8304056993 9328815.962244237),20031.100360387132
kota bekasi,pondokgede,1.375,1.735,40.09,24.987,Built-up,0.284,0.142,30.252,2023,9,0,-6.2691,106.9299,POINT (713513.5474314995 9306655.607312337),5079.67381764552
bekasi,karangbahagia,7.732,21.17,32.41,10.334,Cropland,0.494,0.08,34.366,2024,5,0,-6.2172,107.197,POINT (743101.3525686461 9312280.629798936),8166.496582903672
depok,sawangan,85.29,163.397,35.23,91.287,Tree cover,0.528,0.296,41.658,2024,4,0,-6.4067,106.7641,POINT (695112.6386847002 9291502.341957016),25657.129898343945
kota tangerang,karangtengah,17.685,47.656,36.74,13.076,Built-up,0.33,0.156,36.637,2023,5,0,-6.2101,106.7097,POINT (689165.4297441512 9313265.058075389),10568.381295154777
tangerang,panongan,27.145,39.22,31.68,36.953,Tree cover,0.583,0.192,40.666,2022,6,0,-6.2789,106.5262,POINT (668835.4818942363 9305719.085884267),16160.953799400004
bogor,tajurhalang,58.354,109.926,33.77,128.261,Tree cover,0.616,0.34,41.097,2020,5,0,-6.469,106.7596,POINT (694591.0433916766 9284613.970919622),29751.598382470256
bekasi,cibitung,19.777,39.656,33.85,14.027,Cropland,0.456,0.106,36.59,2022,6,0,-6.2357,107.1004,POINT (732399.4594658929 9310277.682899047),6824.616386632358
jakarta selatan,pancoran,10.989,48.003,37.57,25.372,Built-up,0.3,0.19,34.972,2020,8,0,-6.2553,106.8436,POINT (703967.8326256706 9308216.238014292),14744.299657789503
bekasi,pebayuran,14.374,31.318,32.0,7.055,Cropland,0.355,0.061,32.62,2020,7,0,-6.1593,107.2485,POINT (748829.8599142763 9318661.94999992),3347.519744588326
bogor,tamansari,45.065,67.787,31.5,715.585,Tree cover,0.511,6.987,37.566,2022,1,0,-6.6564,106.7458,POINT (692992.262812293 9263893.753955958),46307.84986100699
bogor,cigudeg,67.352,120.165,27.27,309.2,Tree cover,0.546,3.666,39.247,2024,12,0,-6.4937,106.5461,POINT (670966.1223528992 9281959.333025623),37621.483421128796
kota tangerang,batuceper,40.53,64.804,38.6,10.341,Built-up,0.291,0.068,38.411,2024,2,0,-6.1618,106.6703,POINT (684821.671689335 9318620.431023618),4659.435962349946
tangerang,sukadiri,18.706,36.957,32.02,4.864,Cropland,0.415,0.063,35.281,2021,8,0,-6.0699,106.559,POINT (672532.4991978505 9328820.273373086),9381.4951165674
