NAME_2,NAME_3,avg_rainfall,max_rainfall,avg_temperature,elevation,landcover_class,ndvi,slope,soil_moisture,year,month,banjir,lat,long
bogor,cijeruk,19.286,34.324,27.16,717.352,Tree cover,0.716,7.732,29.065,2023,8,0,-6.686,106.7843
kota bekasi,bekasiutara,18.689,51.301,36.54,13.259,Built-up,0.337,0.12,35.365,2022,7,0,-6.2074,107.0064
bekasi,cikarangtimur,26.754,73.006,35.67,15.164,Cropland,0.43,0.085,33.207,2022,9,0,-6.2885,107.209
bogor,leuwiliang,65.447,112.599,28.53,556.464,Tree cover,0.74,3.837,38.657,2024,3,0,-6.6402,106.6099
tangerang selatan,setu,45.933,81.631,34.06,54.164,Tree cover,0.537,0.359,41.478,2024,3,0,-6.3637,107.0373
tangerang selatan,pondokaren,6.692,8.425,35.48,28.61,Built-up,0.355,0.18,29.857,2023,8,0,-6.2664,106.7114
jakarta pusat,joharbaru,40.571,74.834,38.2,8.969,Built-up,0.183,0.076,37.662,2022,2,0,-6.1821,106.8546
bekasi,serangbaru,13.679,24.15,33.92,47.778,Tree cover,0.51,0.25,30.294,2021,8,0,-6.3956,107.1143
depok,bojongsari,18.631,57.073,33.67,87.016,Built-up,0.46,0.265,34.151,2024,8,0,-6.3943,106.7378
jakarta barat,kalideres,33.433,52.2,37.44,5.258,Built-up,0.295,0.071,37.833,2022,5,0,-6.1346,106.7039
bogor,dramaga,67.093,108.682,32.59,248.285,Tree cover,0.643,1.71,38.656,2024,3,0,-6.5888,106.7298
kota bogor,tanahsareal,70.516,116.989,34.57,184.459,Built-up,0.273,0.639,38.585,2023,2,0,-6.5468,106.7855
bogor,cariu,53.677,71.477,29.72,143.845,Tree cover,0.66,2.107,39.071,2024,2,0,-6.5273,107.1371
jakarta barat,tambora,4.993,6.916,36.12,5.895,Built-up,0.166,0.048,32.778,2023,8,0,-6.1475,106.8035
bogor,babakanmadang,85.461,136.08,29.36,501.913,Tree cover,0.457,5.001,39.358,2020,2,0,-6.5917,106.902
tangerang,solear,41.555,64.886,31.96,39.539,Tree cover,0.661,0.297,39.034,2020,3,0,-6.3069,106.4215
tangerang,rajeg,29.01,65.707,37.46,8.659,Cropland,0.356,0.105,37.587,2020,11,0,-6.1163,106.5103
jakarta selatan,pasarminggu,42.309,81.059,38.41,35.89,Built-up,0.337,0.23,40.782,2022,2,0,-6.2908,106.8293
kota bogor,bogorutara,65.597,117.535,36.56,209.387,Built-up,0.508,0.831,37.93,2023,4,0,-6.5708,106.8196
depok,sawangan,59.33,100.264,37.59,91.287,Tree cover,0.369,0.296,40.588,2024,12,0,-6.4067,106.7641
tangerang,solear,24.356,81.768,30.81,39.539,Tree cover,0.642,0.297,35.554,2023,6,0,-6.3069,106.4215
kota tangerang,periuk,36.104,97.465,37.74,12.531,Built-up,0.298,0.129,36.596,2022,9,0,-6.1675,106.5943
kota bekasi,pondokgede,13.598,36.411,36.62,24.987,Built-up,0.342,0.142,38.861,2022,7,0,-6.2691,106.9299
bogor,leuwisadeng,40.969,78.18,29.93,306.672,Tree cover,0.723,4.096,35.189,2021,8,0,-6.5736,106.5877
kota tangerang,karawaci,12.913,24.504,36.87,16.788,Built-up,0.345,0.102,35.414,2021,7,0,-6.1812,106.618
bogor,cisarua,86.729,139.287,18.88,1216.752,Tree cover,0.509,7.714,39.383,2021,2,0,-6.6985,106.9552
kota bogor,bogorselatan,110.371,271.481,34.53,368.391,Tree cover,0.568,1.807,36.575,2021,10,0,-6.6447,106.8135
tangerang,mekarbaru,19.23,54.336,29.0,4.93,Cropland,0.546,0.066,33.134,2024,7,0,-6.062,106.3871
kota tangerang,tangerang,43.035,91.136,38.05,17.193,Built-up,0.283,0.112,37.999,2023,11,0,-6.1888,106.6406
tangerang,curug,48.344,78.756,35.94,30.753,Built-up,0.457,0.142,38.97,2022,5,0,-6.2426,106.5661
jakarta pusat,kemayoran,28.922,71.005,40.61,6.168,Built-up,0.175,0.103,36.753,2021,10,0,-6.1627,106.8558
jakarta selatan,cilandak,38.94,60.995,37.94,37.329,Built-up,0.444,0.193,40.916,2022,5,0,-6.2927,106.7933
bekasi,tambunutara,19.35,38.385,34.39,8.214,Built-up,0.492,0.091,36.593,2022,6,0,-6.1927,107.0611
bekasi,sukawangi,30.523,64.54,30.27,3.12,Cropland,0.693,0.044,37.09,2020,5,0,-6.1187,107.091
tangerang,kronjo,46.079,82.576,32.44,4.048,Cropland,0.464,0.069,38.037,2022,5,0,-6.0703,106.4282
jakarta barat,kebonjeruk,18.997,42.639,33.48,10.059,Built-up,0.262,0.118,36.176,2024,6,0,-6.1895,106.7691
kota tangerang,periuk,45.525,113.857,41.54,12.531,Built-up,0.289,0.129,36.527,2021,10,0,-6.1675,106.5943
bekasi,tambunutara,40.005,65.994,28.97,8.214,Built-up,0.353,0.091,38.207,2022,2,0,-6.1927,107.0611
bekasi,setu,9.975,28.319,32.37,51.932,Tree cover,0.606,0.202,34.242,2024,5,0,-6.3462,106.6764
kota bekasi,bantargebang,42.072,63.404,36.52,46.555,Built-up,0.475,0.262,40.88,2020,3,0,-6.3385,106.9912
tangerang,kelapadua,23.23,50.102,36.66,27.206,Built-up,0.388,0.146,33.728,2024,9,0,-6.2426,106.6094
bogor,cileungsi,43.422,99.837,37.71,69.866,Tree cover,0.522,0.251,31.666,2020,9,0,-6.4094,106.9962
jakarta pusat,gambir,10.246,28.823,34.41,7.605,Built-up,0.271,0.061,34.955,2024,7,0,-6.1715,106.8181
jakarta pusat,gambir,23.127,32.962,39.31,7.605,Built-up,0.157,0.061,37.78,2024,12,0,-6.1715,106.8181
bogor,cigudeg,20.782,40.421,28.08,309.2,Tree cover,0.79,3.666,37.594,2020,6,0,-6.4937,106.5461
bekasi,tambelang,10.481,37.549,30.93,5.555,Cropland,0.42,0.072,32.212,2023,7,0,-6.167,107.1273
tangerang selatan,ciputat,15.795,30.087,37.96,44.431,Built-up,0.355,0.212,38.967,2024,10,0,-6.3082,106.7277
bekasi,karangbahagia,59.737,132.862,29.29,10.334,Cropland,0.326,0.08,38.807,2023,2,0,-6.2172,107.197
bogor,parungpanjang,26.568,43.342,32.87,65.388,Tree cover,0.636,0.569,38.928,2024,10,0,-6.3768,106.5551
jakarta utara,kelapagading,29.955,81.914,41.11,5.514,Built-up,0.236,0.062,36.753,2021,10,0,-6.161,106.9037
bekasi,sukatani,38.454,60.984,28.97,9.292,Cropland,0.363,0.08,38.207,2022,2,0,-6.1918,107.1559
tangerang,pasarkemis,21.794,42.438,37.78,14.061,Built-up,0.416,0.127,37.294,2023,4,0,-6.1589,106.5525
depok,cimanggis,18.35,54.736,33.87,74.634,Built-up,0.414,0.278,37.636,2024,7,0,-6.3677,106.8694
kota bekasi,pondokmelati,80.589,137.962,38.93,38.409,Built-up,0.338,0.242,41.387,2021,11,0,-6.3095,106.9282
bogor,cariu,21.048,48.688,31.13,143.845,Tree cover,0.702,2.107,32.064,2021,8,0,-6.5273,107.1371
kota bekasi,jatisampurna,63.251,125.916,38.69,69.311,Built-up,0.238,0.278,41.09,2023,2,0,-6.3654,106.9249
tangerang,rajeg,2.564,7.98,36.64,8.659,Cropland,0.367,0.105,29.249,2023,10,0,-6.1163,106.5103
tangerang selatan,ciputattimur,27.735,48.345,35.91,41.355,Built-up,0.438,0.245,40.109,2021,5,0,-6.2988,106.7556
bekasi,cikarangselatan,37.702,61.322,32.95,41.443,Built-up,0.34,0.306,37.934,2022,1,0,-6.3385,107.1279
